Name,Condition,Price,Location,Car_code,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Lexus RX 350L - 2021, Xe cũ,3 Tỷ 699 Triệu,Hà Nội,Mã: 5765201,2021.0,Xe đã dùng,"52,000 Km",Nhập khẩu,SUV,Xăng,Đen,7 chỗ,5 cửa
LandRover Range Rover Autobiography 5.0 - 2013, Xe cũ,2 Tỷ 399 Triệu,Hà Nội,Mã: 5820791,2013.0,Xe đã dùng,"96,000 Km",Nhập khẩu,SUV,Xăng,Đen,4 chỗ,5 cửa
Mercedes Benz C class C250 Exclusive - 2016, Xe cũ,699 Triệu,Hà Nội,Mã: 5705751,2016.0,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2021, Xe cũ,8 Tỷ 999 Triệu,Hà Nội,Mã: 5735528,2021.0,Xe đã dùng,"32,000 Km",Nhập khẩu,SUV,Xăng,Trắng,4 chỗ,5 cửa
Audi A6 2.0 TFSI - 2017, Xe cũ,950 Triệu,Hà Nội,Mã: 5813806,2017.0,Xe đã dùng,"76,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
BMW 5 Series 520i - 2018, Xe cũ,1 Tỷ 190 Triệu,Hà Nội,Mã: 5635553,2018.0,Xe đã dùng,"73,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Lexus RX 350 F-Sport - 2016, Xe cũ,2 Tỷ 459 Triệu,Hà Nội,Mã: 5775478,2016.0,Xe đã dùng,"88,000 Km",Nhập khẩu,SUV,Xăng,Đen,5 chỗ,5 cửa
Mercedes Benz Maybach GLS 600 4Matic - 2022, Xe cũ,9 Tỷ 799 Triệu,Hà Nội,Mã: 5698926,2022.0,Xe đã dùng,"37,000 Km",Nhập khẩu,SUV,Xăng,Xanh,4 chỗ,5 cửa
Mercedes Benz Maybach S450 4Matic - 2018, Xe cũ,3 Tỷ 880 Triệu,Hà Nội,Mã: 5760078,2018.0,Xe đã dùng,"40,000 Km",Nhập khẩu,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mini Cooper S 5Dr - 2019, Xe cũ,1 Tỷ 339 Triệu,Hà Nội,Mã: 5764162,2019.0,Xe đã dùng,"33,000 Km",Nhập khẩu,Hatchback,Xăng,Xanh,5 chỗ,5 cửa
BMW 5 Series 520i - 2018, Xe cũ,1 Tỷ 179 Triệu,Hà Nội,Mã: 5761819,2018.0,Xe đã dùng,"75,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz Maybach S450 4Matic - 2019, Xe cũ,4 Tỷ 380 Triệu,Hà Nội,Mã: 5772273,2019.0,Xe đã dùng,"46,000 Km",Nhập khẩu,Sedan,Xăng,Xanh,5 chỗ,4 cửa
Ford Ranger Raptor 2.0L 4x4 AT - 2023, Xe cũ,1 Tỷ 189 Triệu,TP HCM,Mã: 5818120,2023.0,Xe đã dùng,"23,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Xanh,5 chỗ,4 cửa
Mercedes Benz GLC 300 4Matic - 2021, Xe cũ,1 Tỷ 839 Triệu,Hà Nội,Mã: 5746293,2021.0,Xe đã dùng,"42,000 Km",Lắp ráp trong nước,SUV,Xăng,Đỏ,5 chỗ,5 cửa
Lexus NX 300 - 2019, Xe cũ,1 Tỷ 850 Triệu,Hà Nội,Mã: 5758020,2019.0,Xe đã dùng,"60,000 Km",Nhập khẩu,SUV,Xăng,Nâu,5 chỗ,5 cửa
BMW 7 Series 740Li - 2018, Xe cũ,2 Tỷ 345 Triệu,Hà Nội,Mã: 5760627,2018.0,Xe đã dùng,"30,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Toyota Land Cruiser VX 4.6 V8 - 2016, Xe cũ,3 Tỷ 60 Triệu,Hà Nội,Mã: 5793664,2016.0,Xe đã dùng,"11,000 Km",Nhập khẩu,SUV,Xăng,Đen,8 chỗ,5 cửa
Mercedes Benz GLS 450 4Matic - 2022, Xe cũ,4 Tỷ 450 Triệu,Hà Nội,Mã: 5742897,2022.0,Xe đã dùng,"50,000 Km",Nhập khẩu,SUV,Xăng,Đen,7 chỗ,5 cửa
Lexus RX 300 - 2020, Xe cũ,2 Tỷ 789 Triệu,Hà Nội,Mã: 5791822,2020.0,Xe đã dùng,"66,000 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Porsche Cayenne 3.0 V6 - 2020, Xe cũ,3 Tỷ 990 Triệu,Hà Nội,Mã: 5684830,2020.0,Xe đã dùng,"69,000 Km",Nhập khẩu,SUV,Xăng,Xanh,5 chỗ,5 cửa
Mercedes Benz GLC 250 4Matic - 2017, Xe cũ,950 Triệu,Hà Nội,Mã: 5748004,2017.0,Xe đã dùng,"80,450 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,5 chỗ,5 cửa
Mercedes Benz GLC 200 4Matic - 2021, Xe cũ,1 Tỷ 579 Triệu,Hà Nội,Mã: 5761806,2021.0,Xe đã dùng,"36,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz GLS 450 4Matic - 2019, Xe cũ,3 Tỷ 680 Triệu,Hà Nội,Mã: 5730782,2019.0,Xe đã dùng,"58,000 Km",Nhập khẩu,SUV,Xăng,Đen,7 chỗ,5 cửa
Mercedes Benz S class S450L Luxury - 2020, Xe cũ,2 Tỷ 939 Triệu,Hà Nội,Mã: 5728552,2020.0,Xe đã dùng,"55,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mitsubishi Attrage 1.2 CVT Eco - 2019, Xe cũ,305 Triệu,Hà Nội,Mã: 5820959,2019.0,Xe đã dùng,"70,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz G class G63 AMG - 2021, Xe cũ,9 Tỷ 700 Triệu,Hà Nội,Mã: 5714365,2021.0,Xe đã dùng,"23,000 Km",Nhập khẩu,SUV,Xăng,Xanh,5 chỗ,5 cửa
Lexus RX 350L - 2021, Xe cũ,3 Tỷ 680 Triệu,Hà Nội,Mã: 5772290,2021.0,Xe đã dùng,"69,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
