Name,Condition,Price,Location,Car_code,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Mercedes Benz GLC 300 4Matic - 2018, Xe cũ,1 Tỷ 219 Triệu,Hà Nội,Mã: 5625920,2018.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz C class C300 AMG - 2021, Xe cũ,1 Tỷ 239 Triệu,Hà Nội,Mã: 5618953,2021.0,Xe đã dùng,"24,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đỏ,5 chỗ,4 cửa
Mercedes Benz GLC 300 4Matic - 2019, Xe cũ,1 Tỷ 289 Triệu,Hà Nội,Mã: 5629323,2019.0,Xe đã dùng,"73,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,5 chỗ,5 cửa
Hyundai SantaFe Cao cấp 2.2L HTRAC - 2021, Xe cũ,1 Tỷ 99 Triệu,Hà Nội,Mã: 5557758,2021.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Dầu,Trắng,7 chỗ,5 cửa
Porsche Macan 2.0 - 2022, Xe cũ,3 Tỷ 450 Triệu,Hà Nội,Mã: 5454566,2022.0,Xe đã dùng,"9,200 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Toyota Fortuner 2.4G 4x2 AT - 2019, Xe cũ,889 Triệu,Hà Nội,Mã: 5566076,2019.0,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,SUV,Dầu,Trắng,7 chỗ,5 cửa
Honda City 1.5 AT - 2017, Xe cũ,365 Triệu,Hà Nội,Mã: 5609778,2017.0,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
VinFast Lux SA 2.0 Plus 2.0 AT - 2021, Xe cũ,795 Triệu,Hà Nội,Mã: 5519492,2021.0,Xe đã dùng,"43,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,7 chỗ,5 cửa
Mazda CX5 2.0 Premium - 2020, Xe cũ,750 Triệu,Hà Nội,Mã: 5631122,2020.0,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz E class E250 - 2018, Xe cũ,1 Tỷ 199 Triệu,Hà Nội,Mã: 5631129,2018.0,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Lexus LS 460L - 2007, Xe cũ,625 Triệu,Hà Nội,Mã: 5599319,2007.0,Xe đã dùng,"68,888 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Ford Everest Ambiente 2.0L 4x2 AT - 2022, Xe cũ,1 Tỷ 86 Triệu,TP HCM,Mã: 5631069,2022.0,Xe đã dùng,"38,000 Km",Nhập khẩu,SUV,Dầu,Nâu,7 chỗ,5 cửa
Ford Territory Titanium X 1.5 AT - 2022, Xe cũ,875 Triệu,TP HCM,Mã: 5606578,2022.0,Xe đã dùng,"10,600 Km",Lắp ráp trong nước,SUV,Xăng,Đen,5 chỗ,5 cửa
Mercedes Benz GLS 450 4Matic - 2022, Xe cũ,4 Tỷ 550 Triệu,Hà Nội,Mã: 5631131,2022.0,Xe đã dùng,"26,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Mercedes Benz GLC 300 Coupe 4Matic - 2019, Xe cũ,1 Tỷ 989 Triệu,Hà Nội,Mã: 5631136,2019.0,Xe đã dùng,"38,000 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Audi A8 L 4.2 Quattro - 2010, Xe cũ,886 Triệu,TP HCM,Mã: 5403825,2010.0,Xe đã dùng,"46,680 Km",Nhập khẩu,Sedan,Xăng,Đen,5 chỗ,4 cửa
Hyundai SantaFe 2.4L 4WD - 2018, Xe cũ,750 Triệu,Hà Nội,Mã: 5480854,2018.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,7 chỗ,5 cửa
Mercedes Benz GLS 450 4Matic - 2022, Xe cũ,4 Tỷ 350 Triệu,Hà Nội,Mã: 5626767,2022.0,Xe đã dùng,"26,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Mercedes Benz GLC 300 4Matic - 2020, Xe cũ,1 Tỷ 730 Triệu,Hà Nội,Mã: 5595117,2020.0,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Honda CRV L - 2019, Xe cũ,815 Triệu,Hà Nội,Mã: 5631158,2019.0,Xe đã dùng,"51,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Toyota Corolla altis 1.8G AT - 2018, Xe cũ,575 Triệu,Hà Nội,Mã: 5582132,2018.0,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,Sedan,Xăng,Nâu,5 chỗ,4 cửa
VinFast Lux A 2.0 2.0 AT - 2021, Xe cũ,595 Triệu,Hà Nội,Mã: 5489697,2021.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Kia Optima 2.4 GT line - 2016, Xe cũ,520 Triệu,Hà Nội,Mã: 5631115,2016.0,Xe đã dùng,"95,000 Km",Nhập khẩu,Sedan,Xăng,Đen,5 chỗ,4 cửa
Porsche Macan 2.0 - 2015, Xe cũ,1 Tỷ 580 Triệu,Hà Nội,Mã: 5506116,2015.0,Xe đã dùng,"70,000 Km",Nhập khẩu,SUV,Xăng,Đen,5 chỗ,5 cửa
Hyundai Tucson 1.6 AT Turbo - 2020, Xe cũ,760 Triệu,Hà Nội,Mã: 5616834,2020.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,Crossover,Xăng,Đen,5 chỗ,5 cửa
Toyota Wigo 1.2G MT - 2019, Xe cũ,225 Triệu,TP HCM,Mã: 5630850,2019.0,Xe đã dùng,"100,000 Km",Nhập khẩu,Hatchback,Xăng,Cam,5 chỗ,5 cửa
Mercedes Benz E class E300 AMG - 2017, Xe cũ,1 Tỷ 290 Triệu,Hà Nội,Mã: 5626834,2017.0,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz C class C200 - 2016, Xe cũ,655 Triệu,TP HCM,Mã: 5624952,2016.0,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
VinFast Lux SA 2.0 2.0 AT - 2019, Xe cũ,670 Triệu,Hà Nội,Mã: 5523817,2019.0,Xe đã dùng,"79,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,7 chỗ,5 cửa
Lexus GX 460 - 2014, Xe cũ,2 Tỷ 190 Triệu,Hà Nội,Mã: 5597709,2014.0,Xe đã dùng,0 Km,Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Mazda CX5 2.5 AT 2WD - 2019, Xe cũ,695 Triệu,Hà Nội,Mã: 5598512,2019.0,Xe đã dùng,"35,000 Km",Lắp ráp trong nước,SUV,Xăng,Đỏ,5 chỗ,5 cửa
Mercedes Benz GLC 300 4Matic - 2016, Xe cũ,979 Triệu,Hà Nội,Mã: 5604488,2016.0,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Ford Everest Titanium 2.0L 4x2 AT - 2019, Xe cũ,865 Triệu,Hà Nội,Mã: 5620855,2019.0,Xe đã dùng,"51,000 Km",Nhập khẩu,SUV,Dầu,Đỏ,7 chỗ,5 cửa
Mazda 3 1.5 AT - 2017, Xe cũ,455 Triệu,Hà Nội,Mã: 5500232,2017.0,Xe đã dùng,"85,689 Km",Lắp ráp trong nước,Sedan,Xăng,Đỏ,5 chỗ,4 cửa
Toyota Corolla altis 1.8G AT - 2021, Xe cũ,630 Triệu,TP HCM,Mã: 5631096,2021.0,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Lexus LX 570 Super Sport - 2018, Xe cũ,6 Tỷ 550 Triệu,Hà Nội,Mã: 5557643,2018.0,Xe đã dùng,0 Km,Nhập khẩu,SUV,Xăng,Đen,4 chỗ,5 cửa
Mercedes Benz GLC 250 4Matic - 2016, Xe cũ,919 Triệu,TP HCM,Mã: 5622576,2016.0,Xe đã dùng,"78,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz GLC 200 - 2021, Xe cũ,1 Tỷ 519 Triệu,TP HCM,Mã: 5627892,2021.0,Xe đã dùng,"20,800 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
VinFast Lux A 2.0 Plus 2.0 AT - 2021, Xe cũ,619 Triệu,Hà Nội,Mã: 5631099,2021.0,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mercedes Benz Maybach S680 4Matic - 2022, Xe cũ,14 Tỷ 699 Triệu,Hà Nội,Mã: 5563498,2022.0,Xe đã dùng,"5,000 Km",Nhập khẩu,Sedan,Xăng,Nhiều màu,4 chỗ,4 cửa
Cadillac Escalade 6.2 V8 - 2015, Xe cũ,6 Tỷ 800 Triệu,TP HCM,Mã: 5500653,2015.0,Xe đã dùng,"79,680 Km",Nhập khẩu,SUV,Xăng,Xám,7 chỗ,5 cửa
Lexus LX 570 Super Sport MBS - 2020, Xe cũ,8 Tỷ 299 Triệu,Hà Nội,Mã: 5629832,2020.0,Xe đã dùng,"30,000 Km",Nhập khẩu,SUV,Xăng,Trắng,4 chỗ,5 cửa
Peugeot 2008 GT Line 1.2 AT - 2022, Xe cũ,680 Triệu,TP HCM,Mã: 5631103,2022.0,Xe đã dùng,"32,000 Km",Lắp ráp trong nước,Crossover,Xăng,Trắng,5 chỗ,5 cửa
Lexus RX 350 - 2019, Xe cũ,3 Tỷ ,Hà Nội,Mã: 5595094,2019.0,Xe đã dùng,"51,000 Km",Nhập khẩu,SUV,Xăng,Đen,5 chỗ,5 cửa
Toyota Fortuner 2.7V 4x2 AT - 2019, Xe cũ,795 Triệu,Hà Nội,Mã: 5519501,2019.0,Xe đã dùng,"80,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Toyota Fortuner 2.8V 4x4 AT - 2019, Xe cũ,939 Triệu,Hà Nội,Mã: 5622131,2019.0,Xe đã dùng,"45,000 Km",Nhập khẩu,SUV,Dầu,Trắng,7 chỗ,5 cửa
Hyundai i10 Grand 1.2 MT - 2018, Xe cũ,255 Triệu,Hà Nội,Mã: 5597711,2018.0,Xe đã dùng,"70,000 Km",Lắp ráp trong nước,Sedan,Xăng,Bạc,5 chỗ,4 cửa
Mercedes Benz GLC 200 4Matic - 2020, Xe cũ,1 Tỷ 460 Triệu,Hà Nội,Mã: 4642492,2020.0,Xe đã dùng,"25,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Honda CRV L - 2018, Xe cũ,765 Triệu,Hà Nội,Mã: 5631042,2018.0,Xe đã dùng,"55,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Lexus LX 570 Super Sport - 2018, Xe cũ,6 Tỷ 600 Triệu,Hà Nội,Mã: 5559320,2018.0,Xe đã dùng,0 Km,Nhập khẩu,SUV,Xăng,Đen,4 chỗ,5 cửa
Hyundai SantaFe Cao cấp 2.2L HTRAC - 2022, Xe cũ,1 Tỷ 195 Triệu,Hà Nội,Mã: 5566340,2022.0,Xe đã dùng,"28,000 Km",Lắp ráp trong nước,SUV,Dầu,Trắng,7 chỗ,5 cửa
Ford Territory Titanium X 1.5 AT - 2023, Xe cũ,889 Triệu,TP HCM,Mã: 5625940,2023.0,Xe đã dùng,"12,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,5 chỗ,5 cửa
Mercedes Benz Maybach S450 4Matic - 2017, Xe cũ,3 Tỷ 689 Triệu,Hà Nội,Mã: 5476259,2017.0,Xe đã dùng,"40,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz V class V250 AMG - 2020, Xe cũ,2 Tỷ 250 Triệu,Hà Nội,Mã: 5549844,2020.0,Xe đã dùng,"36,000 Km",Nhập khẩu,Van/Minivan,Xăng,Xanh,6 chỗ,5 cửa
Ford Mondeo 2.5 AT - 2005, Xe cũ,119 Triệu,Hà Nội,Mã: 5563053,2005.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
VinFast Fadil 1.4 AT - 2021, Xe cũ,340 Triệu,Hà Nội,Mã: 5631091,2021.0,Xe đã dùng,"2,001 Km",Lắp ráp trong nước,Hatchback,Xăng,Xanh,5 chỗ,5 cửa
Toyota Camry 2.5Q - 2020, Xe cũ,968 Triệu,TP HCM,Mã: 5629845,2020.0,Xe đã dùng,"34,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Hyundai Elantra Sport 1.6 AT - 2018, Xe cũ,485 Triệu,Hà Nội,Mã: 5489680,2018.0,Xe đã dùng,"54,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đỏ,5 chỗ,4 cửa
VinFast VF8 Eco - 2022, Xe cũ,808 Triệu,Hà Nội,Mã: 5631020,2022.0,Xe đã dùng,"8,500 Km",Lắp ráp trong nước,SUV,Điện,Đỏ,5 chỗ,5 cửa
BMW 7 Series 730Li M Sport - 2022, Xe cũ,3 Tỷ 250 Triệu,Hà Nội,Mã: 5623187,2022.0,Xe đã dùng,"15,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
VinFast VF8 Eco - 2022, Xe cũ,785 Triệu,Hà Nội,Mã: 5614526,2022.0,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Điện,Xanh,5 chỗ,5 cửa
Porsche Macan 2.0 - 2022, Xe cũ,3 Tỷ 350 Triệu,Hà Nội,Mã: 5389680,2022.0,Xe đã dùng,"18,000 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Hyundai Kona 1.6 Turbo - 2019, Xe cũ,528 Triệu,Hà Nội,Mã: 5627005,2019.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Crossover,Xăng,Đen,5 chỗ,5 cửa
Toyota Vios 1.5E MT - 2020, Xe cũ,359 Triệu,Hà Nội,Mã: 5622080,2020.0,Xe đã dùng,"68,000 Km",Lắp ráp trong nước,Sedan,Xăng,Vàng,5 chỗ,4 cửa
VinFast Fadil 1.4 AT Plus - 2021, Xe cũ,340 Triệu,Hà Nội,Mã: 5631056,2021.0,Xe đã dùng,"28,000 Km",Lắp ráp trong nước,Hatchback,Xăng,Đỏ,5 chỗ,5 cửa
Toyota Innova 2.0E - 2020, Xe cũ,599 Triệu,TP HCM,Mã: 5599509,2020.0,Xe đã dùng,"80,300 Km",Lắp ráp trong nước,Crossover,Xăng,Đồng,8 chỗ,5 cửa
Toyota Raize G 1.0 CVT - 2022, Xe cũ,512 Triệu,Hà Nội,Mã: 5580817,2022.0,Xe đã dùng,"30,000 Km",Nhập khẩu,SUV,Xăng,Xanh,5 chỗ,5 cửa
Acura MDX SH-AWD - 2008, Xe cũ,315 Triệu,Hà Nội,Mã: 5512357,2008.0,Xe đã dùng,"120,000 Km",Nhập khẩu,SUV,Xăng,Xám,7 chỗ,5 cửa
Chevrolet Colorado LT 2.5L 4x2 AT - 2019, Xe cũ,435 Triệu,Hà Nội,Mã: 5602095,2019.0,Xe đã dùng,"61,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Đỏ,5 chỗ,4 cửa
Toyota Rush 1.5S AT - 2020, Xe cũ,530 Triệu,TP HCM,Mã: 5631023,2020.0,Xe đã dùng,"21,600 Km",Nhập khẩu,SUV,Xăng,Đỏ,7 chỗ,5 cửa
VinFast Lux SA 2.0 Premium 2.0 AT - 2021, Xe cũ,855 Triệu,Hà Nội,Mã: 5520836,2021.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,SUV,Xăng,Đỏ,7 chỗ,5 cửa
Ford Ranger XLS 2.2L 4x2 MT - 2020, Xe cũ,520 Triệu,TP HCM,Mã: 5628880,2020.0,Xe đã dùng,"72,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Trắng,5 chỗ,4 cửa
Fiat 500 0.9 AT - 2009, Xe cũ,360 Triệu,Hà Nội,Mã: 4905072,2009.0,Xe đã dùng,"70,000 Km",Nhập khẩu,Hatchback,Xăng,Xanh,4 chỗ,3 cửa
LandRover Range Rover SV Autobiography LWB 5.0 - 2016, Xe cũ,6 Tỷ ,Hà Nội,Mã: 5600599,2016.0,Xe đã dùng,"80,000 Km",Nhập khẩu,SUV,Xăng,Xám,4 chỗ,5 cửa
LandRover Range Rover Autobiography LWB 3.0 I6 - 2021, Xe cũ,7 Tỷ 250 Triệu,Hà Nội,Mã: 5593326,2021.0,Xe đã dùng,0 Km,Nhập khẩu,SUV,Xăng,Đen,5 chỗ,5 cửa
Ford Everest Titanium 2.0L 4x4 AT - 2019, Xe cũ,950 Triệu,TP HCM,Mã: 5621950,2019.0,Xe đã dùng,"31,000 Km",Nhập khẩu,SUV,Dầu,Đen,7 chỗ,5 cửa
Lexus LX 570 Super Sport - 2020, Xe cũ,7 Tỷ 350 Triệu,Hà Nội,Mã: 5536454,2020.0,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Hyundai i10 Grand 1.2 AT - 2021, Xe cũ,383 Triệu,Hà Nội,Mã: 5604285,2021.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Ford EcoSport Titanium 1.5L AT - 2019, Xe cũ,459 Triệu,Hà Nội,Mã: 5599822,2019.0,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Xăng,Xám,5 chỗ,5 cửa
Mazda 3 1.5 AT - 2018, Xe cũ,448 Triệu,Hà Nội,Mã: 5620587,2018.0,Xe đã dùng,"66,369 Km",Lắp ráp trong nước,Sedan,Xăng,Xanh,5 chỗ,4 cửa
Toyota Veloz Cross Top 1.5 CVT - 2023, Xe cũ,660 Triệu,TP HCM,Mã: 5626791,2023.0,Xe đã dùng,"25,000 Km",Lắp ráp trong nước,SUV,Xăng,Bạc,7 chỗ,5 cửa
MG ZS Luxury 1.5 AT 2WD - 2021, Xe cũ,485 Triệu,Hà Nội,Mã: 5616651,2021.0,Xe đã dùng,"30,000 Km",Nhập khẩu,Crossover,Xăng,Đỏ,5 chỗ,5 cửa
Toyota Veloz Cross Top 1.5 CVT - 2022, Xe cũ,660 Triệu,TP HCM,Mã: 5630713,2022.0,Xe đã dùng,"38,000 Km",Nhập khẩu,SUV,Xăng,Tím,7 chỗ,5 cửa
VinFast Fadil 1.4 AT Premium - 2019, Xe cũ,325 Triệu,Hà Nội,Mã: 5631028,2019.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Hatchback,Xăng,Đỏ,5 chỗ,5 cửa
Mercedes Benz C class C180 - 2020, Xe cũ,950 Triệu,Hà Nội,Mã: 5519514,2020.0,Xe đã dùng,"35,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Honda CRV G - 2018, Xe cũ,710 Triệu,Hà Nội,Mã: 5606208,2018.0,Xe đã dùng,"81,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Audi A6 2.0T - 2013, Xe cũ,579 Triệu,Hà Nội,Mã: 5615566,2013.0,Xe đã dùng,"90,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Toyota Rush 1.5S AT - 2020, Xe cũ,530 Triệu,TP HCM,Mã: 5630978,2020.0,Xe đã dùng,"21,600 Km",Nhập khẩu,SUV,Xăng,Đỏ,7 chỗ,5 cửa
Nissan Terra V 2.5 AT 4WD - 2019, Xe cũ,750 Triệu,TP HCM,Mã: 5630979,2019.0,Xe đã dùng,"54,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Ford Tourneo Titanium 2.0 AT - 2019, Xe cũ,680 Triệu,TP HCM,Mã: 5629338,2019.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Van/Minivan,Xăng,Bạc,7 chỗ,5 cửa
Hyundai Equus Limousine VL 500 - 2010, Xe cũ,1 Tỷ 399 Triệu,Hà Nội,Mã: 5412599,2010.0,Xe đã dùng,"60,000 Km",Nhập khẩu,Sedan,Xăng,Đen,4 chỗ,4 cửa
Mercedes Benz C class C300 AMG - 2022, Xe cũ,1 Tỷ 959 Triệu,Hà Nội,Mã: 5610978,2022.0,Xe đã dùng,"15,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Hyundai SantaFe Cao cấp 2.5L HTRAC - 2021, Xe cũ,1 Tỷ 110 Triệu,Hà Nội,Mã: 5500622,2021.0,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Xăng,Đen,7 chỗ,5 cửa
Honda City 1.5TOP - 2018, Xe cũ,415 Triệu,Hà Nội,Mã: 5594321,2018.0,Xe đã dùng,"680,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
VinFast Lux SA 2.0 Premium 2.0 AT - 2019, Xe cũ,745 Triệu,Hà Nội,Mã: 5630998,2019.0,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,SUV,Xăng,Đỏ,7 chỗ,5 cửa
Daewoo Lacetti CDX 1.6 AT - 2011, Xe cũ,170 Triệu,Hà Nội,Mã: 5604648,2011.0,Xe đã dùng,"80,000 Km",Nhập khẩu,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mercedes Benz E class E200 Exclusive - 2020, Xe cũ,1 Tỷ 299 Triệu,TP HCM,Mã: 5490771,2020.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Hyundai Solati Van - 2020, Xe cũ,920 Triệu,TP HCM,Mã: 5511333,2020.0,Xe đã dùng,"12,000 Km",Lắp ráp trong nước,Van/Minivan,Dầu,Đen,6 chỗ,4 cửa
Mercedes Benz E class E180 - 2023, Xe cũ,1 Tỷ 699 Triệu,TP HCM,Mã: 5465325,2023.0,Xe đã dùng,30 Km,Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Hyundai Tucson 1.6 AT Turbo Đặc biệt - 2021, Xe cũ,800 Triệu,Hà Nội,Mã: 5586919,2021.0,Xe đã dùng,"35,000 Km",Lắp ráp trong nước,Crossover,Xăng,Trắng,5 chỗ,5 cửa
VinFast Lux SA 2.0 Premium 2.0 AT - 2021, Xe cũ,860 Triệu,Hà Nội,Mã: 5539269,2021.0,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,7 chỗ,5 cửa
Toyota Hilux 2.4L 4x2 AT - 2021, Xe cũ,665 Triệu,Hà Nội,Mã: 5628614,2021.0,Xe đã dùng,"40,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Đỏ,5 chỗ,4 cửa
Mazda CX5 Premium 2.0 AT - 2022, Xe cũ,768 Triệu,Hà Nội,Mã: 5602562,2022.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,5 chỗ,5 cửa
Ford Ranger Wildtrak 3.2L 4x4 AT - 2017, Xe cũ,595 Triệu,Hà Nội,Mã: 5628872,2017.0,Xe đã dùng,"60,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Cam,5 chỗ,4 cửa
Mazda 3 1.5L Luxury - 2024, Xe cũ,645 Triệu,Hà Nội,Mã: 5628719,2024.0,Xe đã dùng,"4,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đỏ,5 chỗ,4 cửa
Kia Seltos Premium 1.4 AT - 2020, Xe cũ,593 Triệu,Hà Nội,Mã: 5630953,2020.0,Xe đã dùng,"51,000 Km",Lắp ráp trong nước,Crossover,Xăng,Trắng,5 chỗ,5 cửa
MG 5 Luxury 1.5 AT - 2022, Xe cũ,465 Triệu,Hà Nội,Mã: 5607499,2022.0,Xe đã dùng,"28,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Ford Ranger Wildtrak 2.0L 4x4 AT - 2022, Xe cũ,595 Triệu,Hà Nội,Mã: 5628692,2022.0,Xe đã dùng,"31,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Dầu,Đen,5 chỗ,4 cửa
Toyota Fortuner Legender 2.4L 4x2 AT - 2022, Xe cũ,1 Tỷ 128 Triệu,Hà Nội,Mã: 5630975,2022.0,Xe đã dùng,"11,000 Km",Lắp ráp trong nước,SUV,Dầu,Đen,7 chỗ,5 cửa
Lexus RX 450h - 2010, Xe cũ,980 Triệu,Hà Nội,Mã: 5597697,2010.0,Xe đã dùng,"130,000 Km",Nhập khẩu,SUV,Hybrid,Trắng,5 chỗ,5 cửa
Volkswagen Viloran Premium - 2023, Xe cũ,1 Tỷ 998 Triệu,Hà Nội,Mã: 5630960,2023.0,Xe đã dùng,700 Km,Nhập khẩu,Van/Minivan,Xăng,Đen,7 chỗ,5 cửa
Lexus LS 460 AWD - 2009, Xe cũ,999 Triệu,Hà Nội,Mã: 4620617,2009.0,Xe đã dùng,"67,899 Km",Nhập khẩu,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mercedes Benz GLC 250 4Matic - 2018, Xe cũ,1 Tỷ 99 Triệu,Hà Nội,Mã: 5626821,2018.0,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,5 chỗ,5 cửa
Mazda CX5 2.0 Luxury - 2019, Xe cũ,655 Triệu,Hà Nội,Mã: 5630961,2019.0,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,SUV,Xăng,Ghi,5 chỗ,5 cửa
Toyota Yaris 1.3 AT - 2011, Xe cũ,295 Triệu,Hà Nội,Mã: 5511141,2011.0,Xe đã dùng,"13,000 Km",Nhập khẩu,Hatchback,Xăng,Trắng,5 chỗ,5 cửa
BMW 3 Series 320i - 2016, Xe cũ,680 Triệu,Hà Nội,Mã: 5562283,2016.0,Xe đã dùng,"90,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mazda CX5 Premium Exclusive 2.0 AT - 2023, Xe cũ,895 Triệu,Hà Nội,Mã: 5598476,2023.0,Xe đã dùng,"6,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Lexus LX 570 Super Sport - 2016, Xe cũ,4 Tỷ 747 Triệu,Hà Nội,Mã: 5579761,2016.0,Xe đã dùng,"91,000 Km",Nhập khẩu,SUV,Xăng,Đen,7 chỗ,5 cửa
Toyota Innova 2.0E - 2018, Xe cũ,540 Triệu,TP HCM,Mã: 5626010,2018.0,Xe đã dùng,"76,000 Km",Lắp ráp trong nước,Crossover,Xăng,Trắng,8 chỗ,5 cửa
Mercedes Benz E class E200 Exclusive - 2021, Xe cũ,1 Tỷ 699 Triệu,Hà Nội,Mã: 5591303,2021.0,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mitsubishi Outlander 2.0 CVT - 2022, Xe cũ,730 Triệu,Hà Nội,Mã: 5606381,2022.0,Xe đã dùng,"17,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,7 chỗ,5 cửa
VinFast Fadil 1.4 AT - 2021, Xe cũ,335 Triệu,Hà Nội,Mã: 5630974,2021.0,Xe đã dùng,"32,000 Km",Lắp ráp trong nước,Hatchback,Xăng,Xám,5 chỗ,5 cửa
